"Qty";"Value";"Device";"Package";"Parts";"Description";"";
"1";"0";"R-US_R0805";"R0805";"R2";"RESISTOR, American symbol";"";
"1";"100k";"R-US_R0805";"R0805";"R7";"RESISTOR, American symbol";"";
"3";"100n";"C-US_CHIP-0805(2012-METRIC)";"CAPC2012X110";"C1, C2, C3";"Capacitor - ANSI";"";
"1";"220";"R-US_R0805";"R0805";"R1";"RESISTOR, American symbol";"";
"1";"3.3k";"R-US_R0805";"R0805";"R6";"RESISTOR, American symbol";"";
"3";"330";"R-US_R0805";"R0805";"R3, R4, R5";"RESISTOR, American symbol";"";
"1";"ATMEGA328PB-MUR";"ATMEGA328PB-MUR";"32M1-A_MCH";"U1";"";"";
"1";"BAT-HLD-001-TR";"BAT-HLD-001-TR";"BAT_BAT-HLD-001-TR";"BT1";"Battery Retainer Coin, 20.0mm 1 Cell SMD (SMT) Tab";"";
"1";"Green";"LEDCHIPLED_0805";"CHIPLED_0805";"LED25";"LED";"";
"24";"Red";"LEDCHIP-LED0805";"CHIP-LED0805";"LED1, LED2, LED3, LED4, LED5, LED6, LED7, LED8, LED9, LED10, LED11, LED12, LED13, LED14, LED15, LED16, LED17, LED18, LED19, LED20, LED21, LED22, LED23, LED24";"LED";"";
